student_id,micourse,microlettergrade,micro_repeater,micro_grade,miclass_size,mipercent_female,micro_aarts,micro_age,micro_age2,econ_major_at_entry,bus_major_at_entry,nonlerner_at_entry,female,minority,micro_relative_grade,mifem_adjunct,mimale_adjunct,mifem_prof,mimale_prof,mifem_gradta,mimale_gradta,macro_econ,sat_math,sat_verb,nonfresh_micro,year_07_08,year_08_09,year_09_10,year_10_11,year_11_12,year_12_13,year_13_14,year_14_15,year_fall_15,mean_gpa_nomicro
1723162177,ECON1511942093,C+,0,2.3299999237060547,19,0.3684210479259491,0,19,361,0,0,1,0,0,0.7571403980255127,0,0,0,1,0,0,1,45,46,1,0,1,0,0,0,0,0,0,0,3.0773684978485107
1723174055,ECON1511942098,D-,0,0.6700000166893005,13,0.38461539149284363,0,21,441,0,0,1,1,0,0.26592665910720825,0,0,0,1,0,0,0,53,50,1,0,0,1,0,0,0,0,0,0,2.519491672515869
1723175738,ECON1511942098,A,0,4,13,0.38461539149284363,0,20,400,0,0,1,1,1,1.0700600147247314,0,0,0,1,0,0,0,70,62,1,0,0,1,0,0,0,0,0,0,3.738107919692993
1723183138,ECON1511942103,C,0,2,12,0.6666666865348816,0,21,441,0,0,1,0,0,0.90938401222229,0,0,0,1,0,0,0,59,53,1,0,0,1,0,0,0,0,0,0,2.1992909908294678
1723280101,ECON1511942093,C,0,2,19,0.3684210479259491,0,21,441,0,0,1,0,0,0.654958963394165,0,0,0,1,0,0,0,58,58,1,0,1,0,0,0,0,0,0,0,3.053626298904419
1723321770,ECON1511942083,B,0,3,46,0.47826087474823,0,20,400,0,0,1,0,0,1.0911331176757813,0,0,0,1,0,0,1,65,60,1,1,0,0,0,0,0,0,0,0,2.7494354248046875
1723335086,ECON1511942078,B+,0,3.3299999237060547,29,0.6206896305084229,0,19,361,0,0,1,0,0,1.4212712049484253,0,0,0,1,0,0,1,64,64,1,1,0,0,0,0,0,0,0,0,2.342972993850708
1723338264,ECON1511942083,B,0,3,46,0.47826087474823,0,20,400,0,0,1,0,1,0.9170658588409424,0,0,0,1,0,0,0,66,57,1,1,0,0,0,0,0,0,0,0,3.2713024616241455
1723354263,ECON1511942078,A-,0,3.6700000762939453,29,0.6206896305084229,0,19,361,0,0,1,0,0,1.129440188407898,0,0,0,1,0,0,0,68,75,1,1,0,0,0,0,0,0,0,0,3.2493972778320313
1723360041,ECON1511942078,B,0,3,29,0.6206896305084229,0,19,361,0,0,1,0,0,1.3506922721862793,0,0,0,1,0,0,0,61,60,1,1,0,0,0,0,0,0,0,0,2.221083164215088
1723370340,ECON1511942083,A,0,4,46,0.47826087474823,0,19,361,0,0,1,0,0,1.2383722066879272,0,0,0,1,0,0,0,70,71,1,1,0,0,0,0,0,0,0,0,3.230046510696411
1723370575,ECON1511942083,B-,0,2.6700000762939453,46,0.47826087474823,0,19,361,0,0,1,0,1,1.0094928741455078,0,0,0,1,0,0,0,61,55,1,1,0,0,0,0,0,0,0,0,2.6448922157287598
1723384270,ECON1511942103,B,0,3,12,0.6666666865348816,0,21,441,0,0,1,0,0,0.9908986687660217,0,0,0,1,0,0,0,72,69,1,0,0,1,0,0,0,0,0,0,3.027554750442505
1723384466,ECON1511942083,A,0,4,46,0.47826087474823,0,19,361,0,0,1,0,1,1.124751329421997,0,0,0,1,0,0,1,73,66,1,1,0,0,0,0,0,0,0,0,3.5563414096832275
1723388464,ECON1511942083,C,0,2,46,0.47826087474823,0,19,361,0,0,1,0,0,0.8098395466804504,0,0,0,1,0,0,1,52,54,1,1,0,0,0,0,0,0,0,0,2.4696249961853027
1723412713,ECON1511942083,B-,0,2.6700000762939453,46,0.47826087474823,0,19,361,0,0,1,0,0,0.9875999689102173,0,0,0,1,0,0,1,61,58,1,1,0,0,0,0,0,0,0,0,2.703523635864258
1723421405,ECON1511942098,D+,0,1.3300000429153442,13,0.38461539149284363,0,20,400,0,0,1,0,0,0.56886225938797,0,0,0,1,0,0,0,54,63,1,0,0,1,0,0,0,0,0,0,2.3380000591278076
1723421675,ECON1511942083,B,0,3,46,0.47826087474823,0,19,361,0,0,1,0,0,0.9081355929374695,0,0,0,1,0,0,0,62,64,1,1,0,0,0,0,0,0,0,0,3.303471326828003
1723426348,ECON1511942098,A-,0,3.6700000762939453,13,0.38461539149284363,0,20,400,0,0,1,0,0,1.2463074922561646,0,0,0,1,0,0,0,70,74,1,0,0,1,0,0,0,0,0,0,2.9446988105773926
1723430754,ECON1511942083,B,0,3,46,0.47826087474823,0,18,324,0,0,1,0,0,1.0146561861038208,0,0,0,1,0,0,0,69,63,1,1,0,0,0,0,0,0,0,0,2.9566667079925537
1723562411,ECON1511942078,B,0,3,29,0.6206896305084229,0,19,361,0,0,1,1,0,0.8725107908248901,0,0,0,1,0,0,1,70,63,1,1,0,0,0,0,0,0,0,0,3.4383528232574463
1723574748,ECON1511942083,B+,0,3.3299999237060547,46,0.47826087474823,0,20,400,0,0,1,1,1,1.0858922004699707,0,0,0,1,0,0,1,78,64,1,1,0,0,0,0,0,0,0,0,3.0666027069091797
1723583651,ECON1511942103,B-,0,2.6700000762939453,12,0.6666666865348816,0,22,484,0,0,1,1,1,1.0654150247573853,0,0,0,1,0,0,0,55,53,1,0,0,1,0,0,0,0,0,0,2.506065607070923
1723605247,ECON1511942083,B,0,3,46,0.47826087474823,0,19,361,0,0,1,1,1,0.92291659116745,0,0,0,1,0,0,1,61,57,1,1,0,0,0,0,0,0,0,0,3.2505645751953125
1723611830,ECON1511942083,C+,0,2.3299999237060547,46,0.47826087474823,0,19,361,0,0,1,1,1,0.9516819715499878,0,0,0,1,0,0,0,53,49,1,1,0,0,0,0,0,0,0,0,2.4482970237731934
1723645467,ECON1511942083,B-,0,2.6700000762939453,46,0.47826087474823,0,19,361,0,0,1,1,0,0.7999280691146851,0,0,0,1,0,0,1,48,62,1,1,0,0,0,0,0,0,0,0,3.3378000259399414
